ts,event_name,task_id,meta_json
2025-12-14T18:25:30.879Z,tasks_saved,,"{""count"": 10}"
2025-12-14T18:25:30.883Z,task_edited,T-3002,"{""status"": ""Todo"", ""due_date"": ""2025-11-01"", ""impact"": 3, ""story_points"": 6, ""has_deps"": false}"
2025-12-14T18:25:30.888Z,task_edited,T-2001,"{""status"": ""Done"", ""due_date"": ""2025-10-30"", ""impact"": 3, ""story_points"": 5, ""has_deps"": false}"
2025-12-14T18:25:30.885Z,task_edited,T-MGRP0A2O,"{""status"": ""Todo"", ""due_date"": ""2025-10-16"", ""impact"": 4, ""story_points"": 4, ""has_deps"": false}"
2025-12-14T18:25:30.881Z,task_edited,T-1001,"{""status"": ""Todo"", ""due_date"": ""2025-10-20"", ""impact"": 5, ""story_points"": 0, ""has_deps"": false}"
2025-12-14T18:25:30.887Z,task_edited,T-1000,"{""status"": ""In Progress"", ""due_date"": ""2025-10-31"", ""impact"": 4, ""story_points"": 7, ""has_deps"": false}"
2025-12-14T18:25:30.897Z,task_saved_done,T-3001,"{""status"": ""Done""}"
2025-12-14T18:25:30.900Z,task_edited,T-1002,"{""status"": ""Blocked"", ""due_date"": ""2025-10-15"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
2025-12-14T18:25:30.895Z,task_edited,T-3001,"{""status"": ""Done"", ""due_date"": ""2025-10-28"", ""impact"": 2, ""story_points"": 4, ""has_deps"": false}"
2025-12-14T18:25:30.902Z,task_edited,T-5001,"{""status"": ""Todo"", ""due_date"": ""2025-10-17"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
2025-12-14T18:25:30.891Z,task_saved_done,T-2001,"{""status"": ""Done""}"
2025-12-14T18:25:30.904Z,task_edited,T-2002,"{""status"": ""Todo"", ""due_date"": ""2025-11-02"", ""impact"": 2, ""story_points"": 5, ""has_deps"": false}"
2025-12-14T18:25:30.908Z,task_edited,T-MJ57QQXE,"{""status"": ""Todo"", ""due_date"": ""2025-12-25"", ""impact"": 3, ""story_points"": 8, ""has_deps"": false}"
2025-12-23T13:01:35.547Z,tasks_saved,,"{""count"": 12}"
2025-12-23T13:01:35.551Z,task_edited,T-MJILF7F1,"{""status"": ""Todo"", ""due_date"": ""2025-12-26"", ""impact"": 8, ""story_points"": 6, ""has_deps"": false}"
2025-12-23T13:01:35.549Z,task_edited,T-MJILFCQN,"{""status"": ""Todo"", ""due_date"": """", ""impact"": 3, ""story_points"": 1, ""has_deps"": false}"
2025-12-23T13:01:35.559Z,task_edited,T-1002,"{""status"": ""Blocked"", ""due_date"": ""2025-10-15"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
2025-12-23T13:01:35.553Z,task_edited,T-1001,"{""status"": ""Todo"", ""due_date"": ""2025-10-20"", ""impact"": 5, ""story_points"": 0, ""has_deps"": false}"
2025-12-23T13:01:35.558Z,task_edited,T-3002,"{""status"": ""Todo"", ""due_date"": ""2025-11-01"", ""impact"": 3, ""story_points"": 6, ""has_deps"": false}"
2025-12-23T13:01:35.554Z,task_edited,T-MGRP0A2O,"{""status"": ""Todo"", ""due_date"": ""2025-10-16"", ""impact"": 4, ""story_points"": 4, ""has_deps"": false}"
2025-12-23T13:01:35.556Z,task_edited,T-1000,"{""status"": ""In Progress"", ""due_date"": ""2025-10-31"", ""impact"": 4, ""story_points"": 7, ""has_deps"": false}"
2025-12-23T13:01:35.560Z,task_edited,T-5001,"{""status"": ""Todo"", ""due_date"": ""2025-10-17"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
2025-12-23T13:01:35.566Z,task_saved_done,T-2001,"{""status"": ""Done""}"
2025-12-23T13:01:35.563Z,task_edited,T-MJ57QQXE,"{""status"": ""Todo"", ""due_date"": ""2025-12-25"", ""impact"": 3, ""story_points"": 8, ""has_deps"": false}"
2025-12-23T13:01:35.562Z,task_edited,T-2002,"{""status"": ""Todo"", ""due_date"": ""2025-11-02"", ""impact"": 2, ""story_points"": 5, ""has_deps"": false}"
2025-12-23T13:01:35.567Z,task_edited,T-3001,"{""status"": ""Done"", ""due_date"": ""2025-10-28"", ""impact"": 2, ""story_points"": 4, ""has_deps"": false}"
2025-12-23T13:01:35.568Z,task_saved_done,T-3001,"{""status"": ""Done""}"
2025-12-23T13:01:35.565Z,task_edited,T-2001,"{""status"": ""Done"", ""due_date"": ""2025-10-30"", ""impact"": 3, ""story_points"": 5, ""has_deps"": false}"
2025-12-23T13:06:27.436Z,tasks_saved,,"{""count"": 13}"
2025-12-23T13:06:27.437Z,task_edited,T-MJILLY1D,"{""status"": ""In Progress"", ""due_date"": ""2025-12-31"", ""impact"": 8, ""story_points"": 5, ""has_deps"": false}"
2025-12-23T13:06:27.437Z,task_edited,T-1001,"{""status"": ""Todo"", ""due_date"": ""2025-10-20"", ""impact"": 5, ""story_points"": 0, ""has_deps"": false}"
2025-12-23T13:06:27.439Z,task_edited,T-1002,"{""status"": ""Blocked"", ""due_date"": ""2025-10-15"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
2025-12-23T13:06:27.439Z,task_edited,T-5001,"{""status"": ""Todo"", ""due_date"": ""2025-10-17"", ""impact"": 3, ""story_points"": 7, ""has_deps"": false}"
